SQUADRA,BAUDI
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Giusy_Ferreri', 'Yuman')",96
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Iva_Zanicchi')",93
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'La_Rappresentante_di_Lista')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Le_Vibrazioni')",100
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Massimo_Ranieri')",99
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Matteo_Romano')",93
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Rkomi')",95
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Tananai')",95
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Highsnob_e_Hu', 'Yuman')",93
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'La_Rappresentante_di_Lista')",97
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Le_Vibrazioni')",99
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Massimo_Ranieri')",98
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Matteo_Romano')",92
"('Achille_Lauro', 'Ana_Mena', 'Ditonellapiaga_con_Donatella_Rettore', 'Iva_Zanicchi', 'Rkomi')",94
